"2024-08-23 21:00:34,324",0.308,0.020
"2024-08-23 21:31:22,425",0.264,0.022
"2024-08-23 22:02:09,767",0.264,0.024
"2024-08-23 22:32:56,799",0.264,0.026
"2024-08-23 23:03:45,113",0.264,0.027
"2024-08-23 23:34:35,009",0.308,-0.015
"2024-08-24 00:05:24,892",0.264,-0.014
"2024-08-24 00:36:12,396",0.308,0.031
"2024-08-24 01:06:58,917",0.264,0.032
"2024-08-24 01:37:45,338",0.352,-0.011
"2024-08-24 02:08:31,947",0.220,0.033
"2024-08-24 02:39:18,628",0.220,0.033
"2024-08-24 03:10:05,362",0.308,-0.011
"2024-08-24 03:40:52,036",0.220,0.034
"2024-08-24 04:11:38,280",0.264,0.034
"2024-08-24 04:42:24,650",0.308,0.033
"2024-08-24 05:13:10,174",0.264,0.033
"2024-08-24 05:43:56,427",0.308,-0.012
"2024-08-24 06:14:42,901",0.264,0.031
"2024-08-24 06:45:29,130",0.264,0.031
"2024-08-24 07:16:14,798",0.308,-0.014
"2024-08-24 07:47:01,042",0.264,0.028
"2024-08-24 08:17:47,466",0.264,0.027
"2024-08-24 08:48:37,089",0.264,0.026
"2024-08-24 09:19:23,821",0.264,0.025
"2024-08-24 09:50:10,391",0.264,0.023
"2024-08-24 10:20:56,869",0.308,-0.023
"2024-08-24 10:51:43,357",0.220,0.019
"2024-08-24 11:22:35,156",0.308,0.018
"2024-08-24 11:53:21,853",0.308,0.016
"2024-08-24 12:24:08,942",0.264,0.014
"2024-08-24 12:54:57,819",0.264,0.011
"2024-08-24 13:25:45,227",0.264,0.009
"2024-08-24 13:56:32,152",0.264,0.006
"2024-08-24 14:27:18,859",0.220,0.047
"2024-08-24 14:58:05,604",0.264,0.044
"2024-08-24 15:28:52,615",0.264,0.041
"2024-08-24 15:59:39,677",0.264,0.038
"2024-08-24 16:30:26,698",0.264,0.034
"2024-08-24 17:01:13,539",0.264,0.031
"2024-08-24 17:32:00,553",0.264,0.027
"2024-08-24 18:02:47,582",0.308,-0.021
"2024-08-24 18:33:34,770",0.308,-0.025
"2024-08-24 19:04:21,738",0.264,0.015
"2024-08-24 19:35:08,834",0.264,0.010
"2024-08-24 20:05:55,798",0.220,0.050
"2024-08-24 20:36:43,121",0.264,0.045
"2024-08-24 21:07:30,244",0.264,0.040
"2024-08-24 21:38:17,280",0.264,0.035
"2024-08-24 22:09:04,603",0.264,0.030
"2024-08-24 22:39:51,695",0.308,0.025
"2024-08-24 23:10:39,151",0.352,-0.024
"2024-08-24 23:41:30,091",0.264,0.015
"2024-08-25 00:12:17,222",0.264,0.009
"2024-08-25 00:43:03,319",0.264,0.003
"2024-08-25 01:13:50,262",0.264,0.041
"2024-08-25 01:44:36,461",0.264,0.035
